"x","y","year","PM10","NO2"
269500,668500,2013,10.73472,12.58086
269500,668500,2014,10.31022,13.15428
269500,668500,2015,9.031453,12.00539
269500,668500,2016,9.556226,13.29972
269500,668500,2017,9.257814,11.19824
250500,667500,2012,11.62235,18.27539
250500,667500,2013,11.91891,15.60064
250500,667500,2014,11.65301,16.10703
250500,667500,2015,10.02304,14.84101
250500,667500,2016,10.21566,15.94513
250500,667500,2017,9.680388,13.33518
251500,667500,2012,11.81652,18.49592
251500,667500,2013,12.36652,16.05323
251500,667500,2014,12.1014,16.66217
251500,667500,2015,10.31945,15.12297
251500,667500,2016,10.37345,16.25531
251500,667500,2017,9.85379,14.04796
252500,667500,2012,15.8682,27.06437
252500,667500,2013,17.39335,24.02407
252500,667500,2014,17.38296,23.76552
252500,667500,2015,14.06257,22.25355
252500,667500,2016,12.22717,22.08563
252500,667500,2017,11.64838,20.61427
253500,667500,2012,12.84126,22.08558
253500,667500,2013,13.38124,19.28184
253500,667500,2014,12.9037,19.54359
253500,667500,2015,11.19146,17.68407
253500,667500,2016,10.84726,18.58188
253500,667500,2017,10.53754,16.53702
254500,667500,2012,12.25845,21.64411
254500,667500,2013,12.6211,19.2629
254500,667500,2014,12.17409,19.66375
254500,667500,2015,10.59396,17.77767
254500,667500,2016,10.43604,18.96208
254500,667500,2017,10.05915,16.69887
255500,667500,2012,11.73862,20.52563
255500,667500,2013,12.14912,18.244
255500,667500,2014,11.69599,18.27356
255500,667500,2015,10.35894,16.70815
255500,667500,2016,10.13996,17.80051
255500,667500,2017,9.873425,16.0344
256500,667500,2012,12.09465,22.57203
256500,667500,2013,12.45426,20.26569
256500,667500,2014,12.00358,20.28735
256500,667500,2015,10.64527,18.71452
256500,667500,2016,10.26132,19.75504
256500,667500,2017,10.02096,17.48113
257500,667500,2012,12.22541,21.95159
257500,667500,2013,12.7018,20.25771
257500,667500,2014,12.22978,20.01634
257500,667500,2015,10.96854,18.54958
257500,667500,2016,10.39617,19.50459
257500,667500,2017,10.18289,17.52329
258500,667500,2012,12.05911,20.84235
258500,667500,2013,12.51348,19.83007
258500,667500,2014,11.98463,19.19027
258500,667500,2015,10.56368,17.7672
258500,667500,2016,10.265,18.6908
258500,667500,2017,10.05869,16.96198
259500,667500,2012,12.50001,22.53702
259500,667500,2013,13.03528,21.35338
259500,667500,2014,12.43319,20.90325
259500,667500,2015,10.85823,19.3811
259500,667500,2016,10.58922,19.98768
259500,667500,2017,10.37342,18.35825
